,ts_month,product_id
250,1.0,1306355
251,1.0,1004766
252,1.0,1005022
253,1.0,1005212
254,1.0,100003358
255,1.0,1802038
256,1.0,1802038
257,1.0,1004767
258,1.0,100030913
259,1.0,1005115
260,1.0,1005239
261,1.0,1004939
262,1.0,100019252
263,1.0,1005223
264,1.0,1005223
265,1.0,1004781
266,1.0,1005161
267,1.0,1201465
268,1.0,1005205
269,1.0,1201295
270,1.0,1201295
271,1.0,1004750
272,1.0,1004750
273,1.0,1005203
274,1.0,1005264
275,1.0,1005266
276,1.0,1005266
277,1.0,1004767
278,1.0,1004226
279,1.0,1004870
280,1.0,1004870
281,1.0,1004870
282,1.0,1003310
283,1.0,1003310
284,1.0,1005100
285,1.0,1005098
