,user_id
448,567560388
449,566434951
450,513075605
451,528114816
452,546964821
453,556250681
454,514572186
455,540767499
456,515416649
457,518496235
458,567713435
459,536834826
460,535412676
461,537154063
462,551692009
463,540194853
464,562699539
465,522578997
466,528108885
467,567754887
468,521788168
469,567775106
470,567775106
471,525113377
472,551492598
473,521788168
474,530929349
475,560362580
476,560362580
477,556577596
478,532100914
479,567415223
480,560872416
481,560872416
482,516937884
483,516937884
484,567438217
485,567438217
486,516822699
487,567438217
488,567438217
489,515629328
490,515629328
491,567415223
492,521449873
493,521449873
494,547410067
495,567438217
496,521556551
497,549730021
498,549730021
499,517526936
500,517526936
501,514257379
502,513346781
503,514768421
504,557028998
505,527765001
506,562515155
507,515896040
508,567775087
509,515896040
510,525113377
511,539494281
512,539494281
513,539494281
514,560362580
515,560362580
516,518769163
517,560362580
518,560362580
519,567066747
520,536686151
521,536686151
522,536686151
523,536686151
524,531895795
525,512407124
526,553548204
527,546224712
528,530874132
529,557371926
530,567438217
531,557052239
532,526934241
533,512823336
534,551492598
535,530041585
536,567908370
537,541706795
538,567927501
539,515205745
540,515205745
541,567987643
542,567987643
543,567987643
544,567987643
545,530844167
546,512392619
547,535137110
548,557948986
549,535992711
550,538738095
551,568028113
552,568028113
553,512791862
554,566726736
555,518982775
556,531515487
557,566342029
558,536192326
559,529180944
560,516375299
561,512513077
562,531515487
563,531515487
564,557402490
565,564761083
566,564761083
567,512803922
568,512381260
569,518794429
570,512381260
571,518794429
572,512381260
573,568150599
574,568150599
575,568150599
576,566486551
577,566486551
578,514482318
579,523598575
580,566486551
581,531515487
582,566486551
583,528080301
584,521167816
585,517246489
586,541322993
587,519918130
588,560698098
589,515502136
590,568043069
591,568043074
592,515896040
593,551629220
594,566726736
595,536050148
596,536580075
597,512364756
598,515890407
599,522578997
600,541559192
601,512803922
602,512803922
603,558947347
604,512803922
605,557129553
606,557129553
607,543529482
608,512740078
609,529699761
610,568150599
611,565606664
612,513524397
613,550413351
614,550413351
615,531515487
616,513412955
617,548375684
618,552938365
619,516508140
620,538663367
621,548445875
622,568265897
623,513799668
624,513799668
625,568273120
626,568273120
627,568283664
628,562713283
629,545639664
630,519792507
631,521747657
632,516628334
633,557795144
634,557795144
635,562650954
636,520018131
